"MODE,FREQUENCY,PERIOD,PARTIC.FACTOR,RATIO,EFFECTIVE MASS,MASS FRACTION,TO TOTAL MASS"
"1,0.00000,0.0000,0.73654E-01,0.277626,0.542494E-02,0.518536E-01,0.518536E-01"
"54,86.3544,0.11580E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"55,96.1197,0.10404E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"56,97.9716,0.10207E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"57,98.2236,0.10181E-01,0.0000,0.000000,0.00000,1.00000,0.00000,"
"58,102.660,0.97409E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"59,104.802,0.95418E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"60,105.603,0.94694E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"61,114.622,0.87243E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"62,114.679,0.87200E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"63,120.631,0.82898E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"64,124.073,0.80598E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"65,126.673,0.78943E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"66,126.717,0.78916E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"67,129.295,0.77343E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"68,140.908,0.70968E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"69,144.770,0.69075E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"70,148.979,0.67123E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"71,164.536,0.60777E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"72,169.358,0.59047E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"73,170.884,0.58519E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"74,171.271,0.58387E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"75,174.326,0.57364E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"76,176.729,0.56584E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"77,180.360,0.55445E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"78,181.249,0.55173E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"79,183.734,0.54427E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"80,187.866,0.53229E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"81,194.605,0.51386E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"82,198.078,0.50485E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"83,199.247,0.50189E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"84,205.797,0.48592E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"85,207.585,0.48173E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"86,208.997,0.47848E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"87,214.214,0.46682E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"88,217.593,0.45957E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"89,220.267,0.45399E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"90,220.615,0.45328E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"91,222.073,0.45030E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"92,232.916,0.42934E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"93,244.829,0.40845E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"94,250.278,0.39955E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"95,250.474,0.39924E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"96,251.397,0.39778E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"97,254.895,0.39232E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"98,259.069,0.38600E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"99,259.265,0.38571E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"100,260.074,0.38451E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"101,260.698,0.38359E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"102,262.471,0.38099E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"103,263.256,0.37986E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"104,264.851,0.37757E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"105,271.480,0.36835E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"106,272.114,0.36749E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"107,273.623,0.36547E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"108,280.465,0.35655E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"109,284.956,0.35093E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"110,289.565,0.34535E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"111,290.036,0.34478E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"112,295.146,0.33882E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"113,296.258,0.33754E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"114,300.338,0.33296E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"115,302.374,0.33072E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"116,306.142,0.32665E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"117,307.124,0.32560E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"118,310.759,0.32179E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"119,311.381,0.32115E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"120,316.351,0.31610E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"121,320.371,0.31214E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"122,325.129,0.30757E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"123,327.311,0.30552E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"124,330.688,0.30240E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"125,331.554,0.30161E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"126,332.461,0.30079E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"127,335.019,0.29849E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"128,344.929,0.28992E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"129,346.722,0.28842E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"130,359.314,0.27831E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"131,360.064,0.27773E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"132,379.703,0.26336E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"133,386.201,0.25893E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"134,390.504,0.25608E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"135,395.412,0.25290E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"136,400.227,0.24986E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"137,402.976,0.24815E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"138,412.855,0.24222E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"139,420.986,0.23754E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"140,429.438,0.23286E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"141,436.979,0.22884E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"142,445.123,0.22466E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"143,452.467,0.22101E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"144,454.835,0.21986E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"145,458.299,0.21820E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"146,462.804,0.21607E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"147,464.921,0.21509E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"148,468.897,0.21327E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"149,470.058,0.21274E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"150,477.574,0.20939E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"151,481.347,0.20775E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"152,483.958,0.20663E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"153,485.970,0.20577E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"154,488.587,0.20467E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"155,491.788,0.20334E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"156,496.274,0.20150E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"157,498.367,0.20066E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"158,504.080,0.19838E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"159,508.753,0.19656E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"160,513.205,0.19485E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"161,514.800,0.19425E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"162,517.980,0.19306E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"163,524.604,0.19062E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"164,528.841,0.18909E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"165,533.623,0.18740E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"166,537.167,0.18616E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"167,538.457,0.18572E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"168,540.783,0.18492E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"169,546.669,0.18293E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"170,548.219,0.18241E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"171,557.470,0.17938E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"172,561.065,0.17823E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"173,571.330,0.17503E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"174,574.403,0.17409E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"175,578.175,0.17296E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"176,584.155,0.17119E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"177,589.431,0.16966E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"178,593.585,0.16847E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"179,595.127,0.16803E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"180,600.624,0.16649E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"181,607.049,0.16473E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"182,612.400,0.16329E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"183,615.594,0.16244E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"184,617.065,0.16206E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"185,636.847,0.15702E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"186,644.191,0.15523E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"187,648.527,0.15420E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"188,653.624,0.15299E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"189,659.946,0.15153E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"190,661.883,0.15108E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"191,665.045,0.15037E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"192,669.573,0.14935E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"193,670.923,0.14905E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"194,675.710,0.14799E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"195,677.876,0.14752E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"196,678.326,0.14742E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"197,679.857,0.14709E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"198,684.283,0.14614E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"199,690.699,0.14478E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"200,696.878,0.14350E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"201,712.341,0.14038E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"202,713.345,0.14018E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"203,717.149,0.13944E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"204,721.687,0.13856E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"205,724.697,0.13799E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"206,731.873,0.13664E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"207,748.666,0.13357E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"208,762.451,0.13116E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"209,765.853,0.13057E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"210,771.531,0.12961E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"211,780.899,0.12806E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"212,784.512,0.12747E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"213,788.881,0.12676E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"214,791.655,0.12632E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"215,802.119,0.12467E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"216,806.908,0.12393E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"217,813.059,0.12299E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"218,824.391,0.12130E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"219,841.380,0.11885E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"220,844.615,0.11840E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"221,847.723,0.11796E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"222,854.036,0.11709E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"223,857.693,0.11659E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"224,868.156,0.11519E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"225,869.702,0.11498E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"226,878.837,0.11379E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"227,886.616,0.11279E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"228,890.283,0.11232E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"229,901.997,0.11087E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"230,903.204,0.11072E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"231,914.515,0.10935E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"232,920.731,0.10861E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"233,922.818,0.10836E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"234,930.148,0.10751E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"235,934.540,0.10700E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"236,940.908,0.10628E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"237,943.704,0.10597E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"238,947.388,0.10555E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"239,949.303,0.10534E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"240,951.329,0.10512E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"241,954.836,0.10473E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"242,956.533,0.10454E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"243,957.894,0.10440E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"244,966.853,0.10343E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"245,970.950,0.10299E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"246,977.002,0.10235E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"247,991.869,0.10082E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"248,996.414,0.10036E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"249,997.353,0.10027E-02,0.0000,0.000000,0.00000,1.00000,0.00000,"
"250,1014.39,0.98581E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"251,1015.95,0.98430E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"252,1016.61,0.98367E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"253,1022.98,0.97753E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"254,1029.56,0.97129E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"255,1036.02,0.96523E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"256,1042.89,0.95888E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"257,1045.47,0.95651E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"258,1069.18,0.93530E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"259,1074.29,0.93085E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"260,1076.81,0.92866E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"261,1082.55,0.92375E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"262,1094.84,0.91338E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"263,1115.44,0.89651E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"264,1121.15,0.89194E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"265,1125.97,0.88812E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"266,1136.95,0.87955E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"267,1139.79,0.87736E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"268,1143.78,0.87429E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"269,1150.17,0.86944E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"270,1167.03,0.85688E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"271,1168.91,0.85550E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"272,1176.70,0.84983E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"273,1188.62,0.84131E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"274,1194.73,0.83701E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"275,1196.54,0.83574E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"276,1199.98,0.83335E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"277,1201.53,0.83227E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"278,1209.90,0.82651E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"279,1212.83,0.82452E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"280,1213.99,0.82373E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"281,1220.09,0.81961E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"282,1231.48,0.81203E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"283,1237.60,0.80801E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"284,1243.97,0.80388E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"285,1261.98,0.79241E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"286,1267.56,0.78892E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"287,1275.59,0.78395E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"288,1278.92,0.78191E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"289,1284.55,0.77848E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"290,1287.62,0.77663E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"291,1297.20,0.77089E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"292,1322.37,0.75622E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"293,1334.15,0.74954E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"294,1336.66,0.74814E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"295,1342.41,0.74493E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"296,1347.99,0.74185E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"297,1351.28,0.74004E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"298,1355.15,0.73793E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"299,1365.69,0.73223E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"300,1372.84,0.72841E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"301,1374.51,0.72753E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"302,1386.81,0.72108E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"303,1388.14,0.72039E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"304,1402.58,0.71297E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"305,1407.21,0.71063E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"306,1412.57,0.70793E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"307,1413.52,0.70746E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"308,1417.82,0.70531E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"309,1423.35,0.70257E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"310,1431.78,0.69843E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"311,1436.86,0.69596E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"312,1442.71,0.69314E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"313,1450.55,0.68939E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"314,1452.28,0.68857E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"315,1464.06,0.68303E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"316,1472.41,0.67916E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"317,1475.61,0.67769E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"318,1480.53,0.67543E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"319,1488.60,0.67177E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"320,1498.12,0.66750E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"321,1505.47,0.66424E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"322,1510.88,0.66186E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"323,1516.71,0.65932E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"324,1519.23,0.65823E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
"325,1525.73,0.65543E-03,0.0000,0.000000,0.00000,1.00000,0.00000,"
